record_id,dataset,mix_id,mix_family,ref,temp_source,curing_type,curing_C,WC,cement,fly_ash,SCM_other,binder,Sa,RH,age_day,time_h,M_NS,t_eq,DD,f_c,fck,peakT,peak_day,maturity_provisional
1,lit55,LIT_wc50_C330_G0_F0,LIT_wc50_C330_G0_F0,Ryu et al. 2024,ambient,,5.0,0.5,330.0,0.0,0.0,330.0,50.0,95.0,9.88,237.12,3556.8,101.60799899893782,49.4,5.9,,,,False
2,lit55,LIT_wc50_C330_G0_F0,LIT_wc50_C330_G0_F0,Ryu et al. 2024,ambient,,5.0,0.5,330.0,0.0,0.0,330.0,50.0,95.0,22.42,538.08,8071.200000000001,230.5719977283589,112.10000000000001,10.1,,,,False
3,lit55,LIT_wc50_C330_G0_F0,LIT_wc50_C330_G0_F0,Ryu et al. 2024,ambient,,5.0,0.5,330.0,0.0,0.0,330.0,50.0,95.0,31.439999999999998,754.56,11318.4,323.3355757618021,157.2,12.0,,,,False
4,lit55,LIT_wc50_C330_G0_F0,LIT_wc50_C330_G0_F0,Ryu et al. 2024,ambient,,5.0,0.5,330.0,0.0,0.0,330.0,50.0,95.0,43.63999999999999,1047.36,15710.399999999998,448.80294294672524,218.19999999999996,13.8,,,,False
5,lit55,LIT_wc50_C330_G0_F0,LIT_wc50_C330_G0_F0,Ryu et al. 2024,ambient,,5.0,0.5,330.0,0.0,0.0,330.0,50.0,95.0,153.98,3695.52,55432.8,1583.5627212405307,769.9,23.3,,,,False
6,lit55,LIT_wc45_C370_G0_F0,LIT_wc45_C370_G0_F0,Ryu et al. 2024,ambient,,5.0,0.45,370.0,0.0,0.0,370.0,49.5,95.0,10.02,240.48,3607.2,103.04778845843693,50.099999999999994,7.4,,,,False
7,lit55,LIT_wc45_C370_G0_F0,LIT_wc45_C370_G0_F0,Ryu et al. 2024,ambient,,5.0,0.45,370.0,0.0,0.0,370.0,49.5,95.0,22.560000000000002,541.44,8121.6,232.011787187858,112.80000000000001,14.1,,,,False
8,lit55,LIT_wc45_C370_G0_F0,LIT_wc45_C370_G0_F0,Ryu et al. 2024,ambient,,5.0,0.45,370.0,0.0,0.0,370.0,49.5,95.0,31.38,753.12,11296.8,322.71852313630245,156.9,17.5,,,,False
9,lit55,LIT_wc45_C370_G0_F0,LIT_wc45_C370_G0_F0,Ryu et al. 2024,ambient,,5.0,0.45,370.0,0.0,0.0,370.0,49.5,95.0,43.72,1049.28,15739.199999999999,449.6256797807248,218.6,20.1,,,,False
10,lit55,LIT_wc45_C370_G0_F0,LIT_wc45_C370_G0_F0,Ryu et al. 2024,ambient,,5.0,0.45,370.0,0.0,0.0,370.0,49.5,95.0,153.22,3677.28,55159.200000000004,1575.7467213175357,766.1,28.9,,,,False
11,lit55,LIT_wc41_C410_G0_F0,LIT_wc41_C410_G0_F0,Ryu et al. 2024,ambient,,5.0,0.41,410.0,0.0,0.0,410.0,49.0,95.0,10.28,246.72,3700.8,105.72168316893529,51.4,8.1,,,,False
12,lit55,LIT_wc41_C410_G0_F0,LIT_wc41_C410_G0_F0,Ryu et al. 2024,ambient,,5.0,0.41,410.0,0.0,0.0,410.0,49.0,95.0,22.28,534.72,8020.8,229.13220826885976,111.40000000000002,16.3,,,,False
13,lit55,LIT_wc41_C410_G0_F0,LIT_wc41_C410_G0_F0,Ryu et al. 2024,ambient,,5.0,0.41,410.0,0.0,0.0,410.0,49.0,95.0,31.48,755.52,11332.8,323.7469441788018,157.4,19.3,,,,False
14,lit55,LIT_wc41_C410_G0_F0,LIT_wc41_C410_G0_F0,Ryu et al. 2024,ambient,,5.0,0.41,410.0,0.0,0.0,410.0,49.0,95.0,43.66,1047.84,15717.599999999999,449.00862715522516,218.29999999999998,23.0,,,,False
15,lit55,LIT_wc41_C410_G0_F0,LIT_wc41_C410_G0_F0,Ryu et al. 2024,ambient,,5.0,0.41,410.0,0.0,0.0,410.0,49.0,95.0,157.0,3768.0,56520.0,1614.6210367240117,785.0,36.0,,,,False
16,lit55,LIT_wc55_C349_G0_F62,LIT_wc55_C349_G0_F62,Ryu et al. 2024,ambient,,5.0,0.55,349.0,62.0,0.0,411.0,49.0,95.0,9.88,237.12,3556.8,101.60799899893782,49.4,3.8,,,,False
17,lit55,LIT_wc55_C349_G0_F62,LIT_wc55_C349_G0_F62,Ryu et al. 2024,ambient,,5.0,0.55,349.0,62.0,0.0,411.0,49.0,95.0,21.439999999999998,514.56,7718.4,220.493471511865,107.19999999999999,9.4,,,,False
18,lit55,LIT_wc55_C349_G0_F62,LIT_wc55_C349_G0_F62,Ryu et al. 2024,ambient,,5.0,0.55,349.0,62.0,0.0,411.0,49.0,95.0,30.34,728.16,10922.4,312.022944294309,151.7,11.8,,,,False
19,lit55,LIT_wc55_C349_G0_F62,LIT_wc55_C349_G0_F62,Ryu et al. 2024,ambient,,5.0,0.55,349.0,62.0,0.0,411.0,49.0,95.0,42.1,1010.4,15156.0,432.965258892235,210.5,16.0,,,,False
20,lit55,LIT_wc55_C349_G0_F62,LIT_wc55_C349_G0_F62,Ryu et al. 2024,ambient,,5.0,0.55,349.0,62.0,0.0,411.0,49.0,95.0,148.17999999999998,3556.3199999999997,53344.799999999996,1523.9143007755672,740.9,24.6,,,,False
21,lit55,LIT_wc55_C287_G0_F123,LIT_wc55_C287_G0_F123,Ryu et al. 2024,ambient,,5.0,0.55,287.0,123.0,0.0,410.0,49.0,95.0,9.86,236.64,3549.6,101.40231479043793,49.29999999999999,3.6,,,,False
22,lit55,LIT_wc55_C287_G0_F123,LIT_wc55_C287_G0_F123,Ryu et al. 2024,ambient,,5.0,0.55,287.0,123.0,0.0,410.0,49.0,95.0,21.400000000000002,513.6,7704.0,220.08210309486532,107.0,8.0,,,,False
