dataset,mix_id,ref,Su_MPa,k_perMPaMaturity,R2,RMSE_MPa,n_points
cube,cube_wc500,This study (cube),27.83,0.0204701404535431,0.7996,2.539,11
cube,cube_wc555,This study (cube),29.58,0.03779758101944,0.7416,2.514,11
cube,cube_wc600,This study (cube),22.23,0.0134912383787803,0.6751,2.991,11
lit119,LIT_wc32_C418_G0_F0,Ryu et al. 2024,60.17,4.999999999982639,,0.114,4
lit119,LIT_wc34_C394_G0_F0,Ryu et al. 2024,50.15,4.999999999999999,,0.097,4
lit119,LIT_wc41_C410_G0_F0,Ryu et al. 2024,37.8,0.0059789216096568,0.755,3.98,15
lit119,LIT_wc45_C370_G0_F0,Ryu et al. 2024,29.99,0.0071282871620706,0.7878,2.936,15
lit119,LIT_wc50_C330_G0_F0,Ryu et al. 2024,23.96,0.0064974161849103,0.7213,2.762,15
lit119,LIT_wc55_C205_G205_F0,Ryu et al. 2024,34.88,0.0039757354373794,0.6949,4.423,15
lit119,LIT_wc55_C287_G0_F123,Ryu et al. 2024,31.33,0.0034141827010237,0.7539,3.657,15
lit119,LIT_wc55_C308_G103_F0,Ryu et al. 2024,35.42,0.0046769256034846,0.7224,4.395,15
lit119,LIT_wc55_C349_G0_F62,Ryu et al. 2024,33.02,0.0041423772586264,0.6717,4.451,15
lit119,LIT_wc83_C289_G0_F0,Ryu et al. 2024,17.25,0.2769089259447895,0.1896,1.977,6
lit503,25-49-600 (Field Trace-Curing),"Yoo et. al., 2017",56.73,0.0207642977419652,0.9986,0.303,4
lit503,25-49-600 (Plant Test),"Yoo et. al., 2017",60.03,0.0180600653399538,0.9998,0.111,4
lit503,BFS 30% – 20 °C,"Park et al., 2003",39.53,0.0289118720066035,0.988,0.74,3
lit503,BFS30-20,"Kim et al., 1999",42.05,0.0249558197877298,0.9945,0.548,6
lit503,BFS30-20 °C,"Kim et al., 1998",35.29,0.0168496288608842,1.0,0.036,3
lit503,BFS30-20°C,"Kim et al., 1998",33.64,0.0202971393221609,1.0,0.02,3
lit503,CIMS Field Concrete,Kim et al. (2019),60.0,0.0064635067876581,0.9858,0.741,4
lit503,CIMS Wall Concrete,Seo et al. (2020),60.0,0.0064635067876581,0.9858,0.741,4
lit503,CT-05 (5 °C),"Kim et al., 1998",39.03,0.0402126538234801,0.9946,0.653,4
lit503,CT-20 (20 °C),"Kim et al., 1998",45.54,0.0249181586895071,0.9838,1.198,4
lit503,CT-40 (40 °C),"Kim et al., 1998",49.08,0.0151036301491484,0.9737,1.374,4
lit503,ESPC (Early-Strength),"Kim, 2020",76.41,0.019979012542612,0.9758,1.667,10
lit503,F-12h-Air,"Kim et al., 2018",15.91,0.0262517947001595,0.928,0.774,4
lit503,F-24h-Moist,"Kim et al., 2018",27.54,0.0101495673801981,0.9962,0.449,5
lit503,F-3d-Air,"Kim et al., 2018",20.62,0.0457224948274709,0.975,0.466,4
lit503,FA 20% + BFS 30% – 20 °C,"Park et al., 2003",37.06,0.0241765609863997,0.9928,0.553,3
lit503,FA 20% – 20 °C,"Park et al., 2003",39.11,0.0245254925145493,0.9864,0.801,3
lit503,FA20 + BFS30-20,"Kim et al., 1999",38.79,0.0220752305069019,0.9858,0.822,6
lit503,FA20 + BFS30-20 °C,"Kim et al., 1998",31.52,0.0168504351552924,0.9991,0.172,3
lit503,FA20 + BFS30-20°C,"Kim et al., 1998",33.14,0.0177002334157823,0.9992,0.179,3
lit503,FA20-20,"Park et al., 2011",42.63,0.0256459395889706,0.7433,4.33,7
lit503,FA20-20 °C,"Kim et al., 1998",33.12,0.0171574855286057,0.9994,0.155,3
lit503,FA20-20°C,"Kim et al., 1998",33.05,0.0200336112939314,0.9995,0.137,3
lit503,FRC-20 °C,"Choi et al., 2016",9.89,0.0160145660683224,0.9775,0.201,5
lit503,FRC-35 °C,"Choi et al., 2016",13.56,0.0049377379919223,0.9587,0.428,5
lit503,FRC-5 °C,"Choi et al., 2016",6.41,0.0536820432167923,0.9885,0.077,5
lit503,Freiesleben–Hansen Model (τ = 2 days),"Lee et al.,2017",41.39,0.0193496613905006,0.9999,0.075,3
lit503,GG – General Gang Form,Nam et al. (2016),42.91,0.0044856835885979,0.9672,1.557,3
lit503,HSC-25-20,"Kim et l., 1996",85.69,0.0181803553723191,0.9835,2.392,5
lit503,HSC-25-40,"Kim et l., 1996",89.18,0.0113068360284959,0.9895,1.716,5
lit503,HSC-25-5,"Kim et l., 1996",66.83,0.0320236496634759,0.9801,2.132,5
lit503,HSC-30-20,KCI (2004),83.67,0.0255255329302912,0.8417,6.995,6
lit503,HSC-30-40,"Nam et al., 1997",91.91,0.0107331104428036,0.9878,1.94,5
lit503,HSC-30-5,KCI (2004),73.55,0.0369327173037021,0.9689,2.724,6
lit503,ICC-No 1 (insulated),"Lee et al., 2004",29.47,0.0122991665956024,0.8496,1.448,5
lit503,ICC-No 4 (0.5 °C),"Lee et al., 2004",44.96,0.0031055506527939,0.8283,2.035,5
lit503,IG-I – Insulated Form I,Nam et al. (2016),36.97,0.0100812376204161,0.9372,2.156,3
lit503,IG-II – Insulated Form II,Nam et al. (2016),35.62,0.0099845132515196,0.9486,1.854,3
lit503,LHPC (Low-Heat),"Kim, 2020",66.37,0.0033873309495409,0.8553,5.628,10
lit503,OCC-No 1 (non-covered),"Lee et al., 2004",22.65,0.0131130109478567,0.9471,0.567,5
lit503,OCC-No 4 (0.5 °C),"Lee et al., 2004",41.2,0.0015971055213943,0.9289,0.77,5
lit503,OPC (Ord. Portland),"Kim, 2020",72.71,0.0151319605325312,0.9928,0.981,10
lit503,OPC – 20 °C,"Park et al., 2003",41.17,0.0326482831855259,0.9865,0.792,3
lit503,OPC – 40 °C,"Park et al., 2003",48.18,0.0149395948304471,0.9832,0.969,3
lit503,OPC – 5 °C,"Park et al., 2003",36.24,0.0472647371266961,0.9766,0.988,3
lit503,OPC-10 °C,"Kim et al., 1998",32.05,0.0211749627733805,1.0,0.034,3
lit503,OPC-20,"Park et al., 2011",43.53,0.0297511859248664,0.7401,4.853,12
lit503,OPC-20 °C,"Kim et al., 1998",37.99,0.0161449046533637,0.9983,0.296,3
lit503,OPC-20/40 (Ref–High),"kim et al., 1998",41.92,0.0152939270338154,0.9726,1.123,3
lit503,OPC-20°C,"Kim et al., 1998",35.47,0.0249993249544188,0.9987,0.226,3
lit503,OPC-35°C,"Kim et al., 1998",38.22,0.0163421612194989,0.9966,0.374,3
lit503,OPC-40,"Kim et al., 1999",50.16,0.0127306541146017,0.9565,1.896,11
lit503,OPC-40 °C,"Kim et al., 1998",37.05,0.0132297876485848,0.9923,0.541,3
lit503,OPC-40/20 (High–Ref),"kim et al., 1998",32.49,0.1510022266316099,0.7787,1.279,3
lit503,OPC-5,"Park et al., 2011",36.57,0.0467106353976331,0.82,3.47,12
lit503,OPC-5/20 (Low–Ref),"kim et al., 1998",34.21,0.0299705786064508,0.9473,1.898,3
lit503,OPC-5/40 (Low–High),"kim et al., 1998",50.84,0.0039227885599188,0.9736,1.585,3
lit503,OPC-5°C,"Kim et al., 1998",31.41,0.0327164608200535,0.9997,0.098,3
lit503,Plain-20 °C,"Choi et al., 2016",11.42,0.020350580397223,0.9658,0.262,5
lit503,Plain-35 °C,"Choi et al., 2016",12.43,0.0100917586231154,0.9675,0.268,5
lit503,Plain-5 °C,"Choi et al., 2016",10.88,0.0598093126285492,0.8867,0.42,5
lit503,Ref-Arrhenius-30 °C,"Lee et al.,2017",43.59,0.0174019482613476,0.9971,0.404,3
lit503,Ref-Nurse-Saul-20 °C,"Lee et al.,2017",40.75,0.0215280159701617,0.9997,0.127,3
lit503,Series A – 5 °C (OPC),"Kim et al.,1998",40.03,0.0297372169953979,0.9872,1.039,5
lit503,Series A – W/B 0.30 (20 °C),"Han et al., 2000",80.19,0.0142212313435286,0.9985,0.733,6
lit503,Series B – 20 °C (OPC),"Kim et al.,1998",47.7,0.0167571877680889,0.9743,1.667,5
lit503,Series B – W/B 0.35 (10 °C),"Han et al., 2000",71.19,0.0246442546276776,0.9878,1.898,6
lit503,Series C – 40 °C (OPC),"Kim et al.,1998",49.84,0.0105097421028156,0.9649,1.781,5
lit503,Series C – W/B 0.45 (5 °C),"Han et al., 2000",60.55,0.0223048149696858,0.9897,1.554,6
lit503,Series D – 20 °C (BFS 30%),"Kim et al.,1998",42.71,0.0168390385498059,0.9657,1.719,5
lit503,W/C 0.28 – 5 °C,"Kwon,2004",88.82,0.0202442712111782,0.9779,3.337,8
lit503,W/C 0.30 – 10 °C,"Han et al.,1998",51.08,0.0366956380888804,0.9752,1.429,3
lit503,W/C 0.30 – 30 °C,"Han et al.,1998",54.58,0.0202381886065839,0.9747,1.422,3
lit503,W/C 0.32 – 10 °C,"Kwon,2004",93.67,0.0199454644242828,0.9915,2.265,8
lit503,W/C 0.37 – 20 °C,"Kwon,2004",95.61,0.0217958365937034,0.9471,5.013,8
