member,WC,age_day,M_NS_core,t_eq_core,DD_core,M_NS_ambient,t_eq_ambient,DD_ambient,ratio_teq_core_amb,Tearly_core_C,Tearly_amb_C,t_eq_AD,t_eq_SC
slab_Exp1,0.64,1,993.91,43.75,31.41,817.77,32.22,24.96,1.36,31.39,28.08,,
slab_Exp1,0.64,3,2979.87,130.11,94.16,2661.02,106.62,81.77,1.22,31.39,28.08,,
slab_Exp1,0.64,7,6770.37,287.25,212.1,6480.07,266.2,200.89,1.08,31.39,28.08,,
slab_Exp1,0.64,14,13249.44,549.81,412.06,13123.83,542.23,407.72,1.01,31.39,28.08,,
slab_Exp1,0.64,28,25544.33,1025.07,784.35,25811.77,1046.57,796.38,0.98,31.39,28.08,,
slab_Exp2,0.44,1,826.0,31.17,24.42,675.34,21.71,18.14,1.44,23.15,17.22,24.27,24.03
slab_Exp2,0.44,3,2386.88,86.9,69.45,1959.92,62.09,51.66,1.4,23.15,17.22,68.9,67.13
slab_Exp2,0.44,7,4960.98,167.71,136.71,4491.4,140.97,117.14,1.19,23.15,17.22,153.99,147.67
slab_Exp2,0.44,14,9449.81,308.5,253.74,8897.39,278.03,230.72,1.11,23.15,17.22,305.04,291.97
slab_Exp2,0.44,28,17683.66,557.51,456.82,17093.26,525.51,432.22,1.06,23.15,17.22,580.35,556.91
cube,0.56,1,1044.22,50.35,33.51,791.27,28.19,22.97,1.79,31.27,23.04,,
cube,0.56,3,2971.34,133.18,93.81,2379.15,84.82,69.13,1.57,31.27,23.04,,
cube,0.56,7,6240.76,252.25,190.03,5531.18,196.58,160.47,1.28,31.27,23.04,,
cube,0.56,14,11694.72,443.89,347.28,10954.7,386.63,316.45,1.15,31.27,23.04,,
cube,0.56,28,22836.94,841.22,671.54,22070.0,782.29,639.58,1.08,31.27,23.04,,
cube,0.5,1,1014.43,47.6,32.27,791.27,28.19,22.97,1.69,31.08,23.04,,
cube,0.5,3,2958.06,132.18,93.25,2379.15,84.82,69.13,1.56,31.08,23.04,,
cube,0.5,7,6211.83,250.24,188.83,5531.18,196.58,160.47,1.27,31.08,23.04,,
cube,0.5,14,11624.69,439.42,344.36,10954.7,386.63,316.45,1.14,31.08,23.04,,
cube,0.5,28,22681.71,831.49,665.07,22070.0,782.29,639.58,1.06,31.08,23.04,,
cube,0.6,1,940.22,40.21,29.18,791.27,28.19,22.97,1.43,29.79,23.04,,
cube,0.6,3,2864.93,122.61,89.37,2379.15,84.82,69.13,1.45,29.79,23.04,,
cube,0.6,7,6123.37,240.98,185.14,5531.18,196.58,160.47,1.23,29.79,23.04,,
cube,0.6,14,11543.48,430.6,340.98,10954.7,386.63,316.45,1.11,29.79,23.04,,
cube,0.6,28,22617.92,823.74,662.41,22070.0,782.29,639.58,1.05,29.79,23.04,,
cube_out,0.56,1,1042.61,48.99,33.44,804.24,29.64,23.51,1.65,32.58,24.06,,
cube_out,0.56,3,3065.71,140.39,97.74,2452.24,92.06,72.18,1.53,32.58,24.06,,
cube_out,0.56,7,6529.06,273.68,202.04,5644.55,209.29,165.19,1.31,32.58,24.06,,
cube_out,0.56,14,12309.79,486.69,372.91,11216.06,410.84,327.34,1.18,32.58,24.06,,
cube_out,0.56,28,23859.67,910.03,714.15,22892.33,842.54,673.85,1.08,32.58,24.06,,
cube_out,0.5,1,998.67,45.42,31.61,804.24,29.64,23.51,1.53,33.68,24.06,,
cube_out,0.5,3,3145.01,150.71,101.04,2452.24,92.06,72.18,1.64,33.68,24.06,,
cube_out,0.5,7,6712.39,292.61,209.68,5644.55,209.29,165.19,1.4,33.68,24.06,,
cube_out,0.5,14,12662.62,517.66,387.61,11216.06,410.84,327.34,1.26,33.68,24.06,,
cube_out,0.5,28,24348.32,949.98,734.51,22892.33,842.54,673.85,1.13,33.68,24.06,,
cube_out,0.6,1,928.03,38.77,28.67,804.24,29.64,23.51,1.31,30.29,24.06,,
cube_out,0.6,3,2901.01,125.71,90.88,2452.24,92.06,72.18,1.37,30.29,24.06,,
cube_out,0.6,7,6301.85,254.3,192.58,5644.55,209.29,165.19,1.22,30.29,24.06,,
cube_out,0.6,14,12059.96,465.91,362.5,11216.06,410.84,327.34,1.13,30.29,24.06,,
cube_out,0.6,28,23572.62,886.82,702.19,22892.33,842.54,673.85,1.05,30.29,24.06,,
