mix_wc,L_mm,core_depth_mm,peak_T_C,T_early_C,maturity_ratio,Su_core_MPa,strength_ratio_2d,strength_ratio_7d,strength_ratio_late14d
0.5,100,50.0,27.8,24.6,1.166,26.3,1.088,0.996,0.974
0.5,200,100.0,30.4,26.7,1.197,25.7,1.13,0.986,0.958
0.5,300,150.0,34.9,29.2,1.239,25.1,1.173,0.973,0.938
0.5,400,200.0,39.5,32.0,1.296,24.4,1.209,0.958,0.915
0.5,600,300.0,48.8,38.6,1.463,22.7,1.248,0.921,0.862
0.5,800,400.0,56.7,45.4,1.7,22.4,1.314,0.933,0.86
0.6,100,50.0,27.8,24.6,1.166,22.5,1.131,1.017,0.985
0.6,200,100.0,30.4,26.7,1.197,22.0,1.198,1.012,0.97
0.6,300,150.0,34.9,29.2,1.239,21.5,1.272,1.005,0.952
0.6,400,200.0,39.5,32.0,1.296,20.9,1.344,0.998,0.932
0.6,600,300.0,48.8,38.6,1.463,19.4,1.452,0.976,0.885
