datetime,elapsed_h,TC-A-1_C,TC-A-2_C,TC-A-3_C,TC-A-4_C,TC-B-1_C,TC-B-2_C,TC-B-3_C,TC-B-4_C,TC-C-1_C,TC-C-2_C,TC-C-3_C,TC-C-4_C,ambient_indoor_C,ambient_outdoor_C,RH_indoor_pct,RH_outdoor_pct
2026-05-14 14:40:00,0.0,23.994,23.791,23.781,29.975,23.605,23.7,23.762,31.108,23.776,24.283,24.613,30.598,24.468,30.252,,
2026-05-14 14:42:00,0.0333,23.908,24.03,23.764,29.825,23.65,23.692,23.737,30.997,23.749,24.246,24.602,30.463,24.432,29.815,,
2026-05-14 14:44:00,0.0667,23.994,24.287,23.791,29.729,23.924,23.721,23.768,30.828,23.763,24.291,24.615,30.392,24.612,30.009,,
2026-05-14 14:46:00,0.1,24.048,24.13,23.78,29.743,23.899,23.72,23.739,30.819,23.751,24.258,24.598,30.398,24.545,29.932,,
2026-05-14 14:48:00,0.1333,24.119,24.008,23.789,29.856,23.759,23.726,23.733,31.063,23.762,24.266,24.598,30.393,24.509,30.018,,
2026-05-14 14:50:00,0.1667,24.167,23.953,23.798,29.757,23.705,23.729,23.717,31.018,23.768,24.279,24.578,30.354,24.508,29.7,,
2026-05-14 14:52:00,0.2,24.212,23.929,23.812,29.791,23.7,23.726,23.703,31.117,23.764,24.322,24.585,30.363,24.713,29.791,,
2026-05-14 14:54:00,0.2333,24.262,23.931,23.823,29.625,23.734,23.762,23.718,30.923,23.785,24.365,24.593,30.162,24.878,29.253,,
2026-05-14 14:56:00,0.2667,24.306,23.963,23.888,29.41,23.759,23.767,23.718,30.646,23.771,24.326,24.573,29.991,24.732,28.742,,
2026-05-14 14:58:00,0.3,24.353,23.996,23.912,29.309,23.831,23.808,23.759,30.574,23.797,24.347,24.568,29.868,24.847,28.879,,
2026-05-14 15:00:00,0.3333,24.397,23.975,23.897,29.275,23.812,23.819,23.754,30.759,23.816,24.369,24.592,29.818,24.896,29.173,,
2026-05-14 15:02:00,0.3667,24.431,23.943,23.889,29.224,23.796,23.808,23.754,30.724,23.826,24.391,24.583,29.729,24.722,29.157,,
2026-05-14 15:04:00,0.4,24.477,23.95,23.929,29.297,23.826,23.845,23.78,31.107,23.868,24.466,24.599,29.754,24.89,29.352,,
2026-05-14 15:06:00,0.4333,24.504,23.92,23.879,29.31,23.76,23.814,23.748,31.543,23.853,24.419,24.555,29.713,24.765,29.646,,
2026-05-14 15:08:00,0.4667,24.529,23.96,23.918,29.364,23.828,23.842,23.759,32.035,23.863,24.408,24.581,29.792,24.803,29.822,,
2026-05-14 15:10:00,0.5,24.56,23.983,23.913,29.44,23.898,23.876,23.814,32.32,23.884,24.415,24.67,29.864,24.73,30.17,,
2026-05-14 15:12:00,0.5333,24.595,23.998,23.907,29.518,23.896,23.87,23.802,32.885,23.882,24.401,24.612,29.967,24.618,30.318,,
2026-05-14 15:14:00,0.5667,24.622,23.957,23.87,29.634,23.861,23.867,23.79,33.334,23.877,24.375,24.611,30.078,24.592,30.537,,
2026-05-14 15:16:00,0.6,24.664,23.936,23.87,29.81,23.822,23.858,23.806,34.241,23.882,24.365,24.595,30.132,24.525,31.262,,
2026-05-14 15:18:00,0.6333,24.683,23.961,23.877,29.93,23.83,23.832,23.797,34.878,23.857,24.347,24.602,30.263,24.676,31.091,,
2026-05-14 15:20:00,0.6667,24.689,23.967,23.86,29.981,23.851,23.834,23.787,35.176,23.841,24.336,24.574,30.312,24.799,30.435,,
2026-05-14 15:22:00,0.7,24.699,23.964,23.853,30.059,23.85,23.847,23.775,35.57,23.838,24.393,24.567,30.369,25.324,30.329,,
2026-05-14 15:24:00,0.7333,24.698,24.008,23.859,30.337,23.961,23.926,23.811,36.119,23.858,24.476,24.622,30.562,25.499,31.038,,
2026-05-14 15:26:00,0.7667,24.745,24.122,23.97,30.642,24.13,23.959,23.898,36.483,23.868,24.425,24.657,30.762,25.21,30.998,,
2026-05-14 15:28:00,0.8,24.767,24.148,23.991,30.935,24.144,23.971,23.929,36.683,23.89,24.429,24.698,31.069,25.102,31.112,,
2026-05-14 15:30:00,0.8333,24.83,24.157,24.037,31.179,24.12,24.027,23.982,36.64,23.962,24.458,24.705,31.268,24.871,30.995,,
2026-05-14 15:32:00,0.8667,24.845,24.134,24.026,31.61,24.063,24.009,24.0,37.216,23.969,24.468,24.725,31.707,25.019,31.676,,
2026-05-14 15:34:00,0.9,24.848,24.108,24.055,32.145,23.998,23.99,23.961,37.856,23.953,24.448,24.692,32.112,24.857,31.878,,
2026-05-14 15:36:00,0.9333,24.9,24.104,23.289,32.61,23.956,23.946,23.93,37.916,23.944,24.406,24.673,32.492,24.565,31.305,,
2026-05-14 15:38:00,0.9667,24.916,24.06,22.182,32.979,23.913,23.88,23.906,37.575,23.912,24.372,24.618,32.727,24.528,31.074,,
2026-05-14 15:40:00,1.0,24.94,24.062,22.116,33.492,23.919,23.903,23.927,37.571,23.925,24.361,24.619,33.083,24.466,31.108,,
2026-05-14 15:42:00,1.0333,24.948,24.072,22.022,33.767,23.908,23.919,23.938,37.381,23.912,24.347,24.619,33.268,24.623,30.708,,
2026-05-14 15:44:00,1.0667,24.964,24.135,21.996,33.968,23.979,23.939,23.951,37.382,23.917,24.354,24.628,33.433,24.711,30.604,,
2026-05-14 15:46:00,1.1,24.949,24.242,21.965,34.415,23.979,23.932,23.954,37.645,23.915,24.439,24.602,33.706,25.037,31.093,,
2026-05-14 15:48:00,1.1333,24.95,24.186,21.968,34.679,23.991,23.94,23.941,37.581,23.907,24.397,24.584,33.778,24.895,32.495,,
2026-05-14 15:50:00,1.1667,24.989,24.166,22.008,34.968,24.0,23.961,23.972,37.416,23.944,24.394,24.576,33.957,24.728,33.744,,
